surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO2	0.0	[2345.043704, 1304.516933, 627.332803, 627.223381, 6.224812, 2.826199]	sv_calc
None	gas	CO	0.678	[1993.435752, 232.820271, 232.021371]	sv_calc
None	gas	H2	0.0	[4365.781307, 90.625081, 62.147748]	sv_calc
None	gas	H2O	0.0	[3823.236815, 3714.548821, 1601.953121, 117.831391, 81.112955, 51.646198]	sv_calc
Ag	211	COOH	0.43	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
Ag	211	CO	0.53	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
Ag	211	CO2	1.09	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
Au	211	COOH	0.25	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
Au	211	CO	0.28	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
Au	211	CO2	0.75	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
Cu	211	COOH	0.2	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
Cu	211	CO	-0.05	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
Cu	211	CO2	0.85	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
Pd	211	COOH	-0.22	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
Pd	211	CO	-0.77	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
Pd	211	CO2	0.08	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
Pt	211	COOH	-0.53	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
Pt	211	CO	-1.21	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
Pt	211	CO2	0.11	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
